Fecha;Precio;Paro;AeronavesUE;AeronavesMundo;Inflacion;Hipotecas;ImporteHipoteca
jul-08;15,1;61404;13254;3343;90,3;1842;239342
ago-08;14,9;64368;13048;3580;90,2;1389;175364
sep-08;14,5;65356;12355;3128;90,1;1421;200759
oct-08;14,8;68344;11938;2703;90,5;1172;204358
nov-08;15,2;71510;9545;2246;90,3;1174;183398
dic-08;15,4;74304;9241;2253;90,1;877;179545
ene-09;15,2;80207;8780;2133;89,2;1034;179859
feb-09;15;84278;8916;1958;89,1;1127;162319
mar-09;15;88206;10342;2266;89,3;1096;166422
abr-09;15;89865;11018;2587;90,3;1040;161752
may-09;15;89941;11618;2313;90,3;1286;196641
jun-09;14,3;87917;11142;2575;90,7;1327;163336
jul-09;14,3;90563;11866;2937;89,9;1321;166913
ago-09;14;94853;11399;3114;90,1;974;156473
sep-09;13,9;96250;10800;2668;90;1446;167687
oct-09;13,8;97722;10426;2436;90,5;1205;178688
nov-09;14;99798;9101;2178;91,1;1004;176522
dic-09;13,7;101069;8810;2171;91,3;1129;162939
ene-10;13,8;105073;8233;2130;90,4;1248;163523
feb-10;13,9;106961;7952;2024;90,2;1534;159729
mar-10;13,8;108292;9619;2443;90,9;1771;162787
abr-10;13,8;106836;9396;2679;91,8;1533;181059
may-10;13,8;103907;10971;2879;92;1603;167890
jun-10;13,5;101089;11052;3439;92,2;1353;168501
jul-10;13,5;99844;11855;3870;91,9;1663;176104
ago-10;13,2;102648;11731;3907;92,1;1350;169708
sep-10;13,3;101972;11336;3505;92,1;1390;179756
oct-10;13,2;102704;11578;3190;92,8;979;173361
nov-10;13,1;102364;10328;2632;93,3;1065;167372
dic-10;12,9;100868;9538;2607;93,9;1446;149464
ene-11;12,8;105456;9688;2783;93,3;1331;175352
feb-11;12,7;107928;9411;2407;93,4;1553;178547
mar-11;12,7;109153;10843;2742;93,9;1143;162691
abr-11;12,6;108203;12011;3255;95,1;1031;148520
may-11;12,5;106774;13150;3547;95,2;1194;153503
jun-11;12,3;104784;12792;4151;95,1;925;141756
jul-11;12,1;104929;13370;4569;94,8;861;144952
ago-11;12;107625;13344;4440;94,8;744;146948
sep-11;12;108250;12893;4137;95;881;149802
oct-11;12,1;109266;12768;3532;95,7;570;152949
nov-11;12;109265;10551;2740;96;822;149613
dic-11;12;108624;10607;2808;96,3;604;142980
